KEY_CODE,population
533902984,150
533902991,569
533902992,706
533902993,614
533902994,1030
533903001,2149
533903002,2690
533903003,1143
533903004,2736
533903011,3371
533903012,5311
533903013,2123
533903014,2893
533903021,1319
533903022,2612
533903023,471
533903024,2433
533903031,2502
533903032,1844
533903033,2614
533903034,2831
533903041,2723
533903042,3143
533903043,3407
533903044,2946
533903051,2713
533903052,2883
533903053,3871
533903054,2083
533903061,2830
533903062,3760
533903063,3700
533903064,3344
533903071,2414
533903072,2108
533903073,198
533903074,1699
533903081,2994
533903082,3726
533903083,2353
533903084,4689
533903091,4272
533903092,2303
533903093,2424
533903094,3132
533903101,2360
533903102,1445
533903103,727
533903104,873
533903111,1452
533903112,2813
533903113,199
533903114,2538
533903121,1431
533903122,2072
533903123,3361
533903124,3610
533903131,3046
533903132,2987
533903133,2393
533903134,1821
533903141,2541
533903142,3819
533903143,1417
533903144,1231
533903151,3795
533903152,2787
533903153,1195
533903154,1667
533903161,4125
533903162,3346
533903163,1765
533903164,2846
533903171,3066
533903172,1799
533903173,1566
533903174,2229
533903181,2726
533903182,4083
533903183,2939
533903184,2540
533903191,4776
533903192,4612
533903193,2322
533903194,2203
533903201,192
533903202,266
533903203,104
533903204,584
533903211,184
533903212,2161
533903213,805
533903214,1656
533903221,2759
533903222,3328
533903223,2795
533903224,2304
533903231,1913
533903232,2089
533903233,61
533903234,266
533903241,144
533903242,451
533903244,11
533903251,327
533903252,537
533903253,684
533903254,2305
533903261,138
533903262,813
533903263,331
533903264,17
533903271,3146
533903272,2717
533903273,487
533903274,2765
533903281,3182
533903282,1209
533903283,1684
533903284,439
533903291,2349
533903292,2505
533903293,1648
533903294,2193
533903301,90
533903302,604
533903303,2486
533903304,2010
533903311,2677
533903312,1958
533903313,1826
533903314,192
533903321,2184
533903322,509
533903323,1673
533903324,614
533903331,200
533903332,445
533903333,215
533903334,350
533903341,49
533903342,254
533903343,313
533903344,628
533903351,2646
533903352,2091
533903353,2093
533903354,2634
533903361,477
533903362,451
533903363,1460
533903364,1375
533903371,2849
533903372,2333
533903373,3487
533903374,3043
533903381,1571
533903382,905
533903383,2562
533903384,88
533903391,539
533903392,1577
533903393,331
533903394,1602
533903401,1854
533903402,2088
533903403,697
533903404,1101
533903411,1561
533903412,1065
533903413,1438
533903414,2211
533903421,478
533903422,76
533903423,669
533903424,156
533903431,453
533903432,436
533903433,100
533903434,535
533903441,525
533903442,1924
533903443,1220
533903444,2260
533903451,3102
533903452,3011
533903453,2186
533903454,3640
533903461,1291
533903462,472
533903463,1480
533903464,349
533903471,2942
533903472,2521
533903473,349
533903474,250
533903481,1698
533903482,826
533903483,173
533903484,140
533903491,199
533903492,1028
533903493,51
533903494,706
533903501,144
533903502,410
533903503,794
533903504,379
533903511,1545
533903512,1304
533903513,1847
533903514,1655
533903521,427
533903522,122
533903523,365
533903524,48
533903531,90
533903532,265
533903533,70
533903534,132
533903541,459
533903542,840
533903543,93
533903544,405
533903551,2415
533903552,2124
533903553,564
533903554,207
533903561,2631
533903562,1471
533903563,2473
533903564,1863
533903571,750
533903572,233
533903573,1958
533903574,2033
533903581,115
533903582,353
533903583,1589
533903584,453
533903591,174
533903592,1809
533903593,232
533903594,1240
533903601,248
533903602,1345
533903603,544
533903604,471
533903611,659
533903612,623
533903613,463
533903614,285
533903621,189
533903622,286
533903623,659
533903624,148
533903631,118
533903632,39
533903633,161
533903634,25
533903641,73
533903642,357
533903643,63
533903644,250
533903651,676
533903652,793
533903653,472
533903654,1543
533903661,1380
533903662,1136
533903663,913
533903664,2728
533903671,2400
533903672,2613
533903673,2799
533903674,3036
533903681,2166
533903682,1401
533903683,1054
533903684,154
533903691,391
533903692,3247
533903693,2243
533903694,2965
533903701,699
533903702,1046
533903703,494
533903704,769
533903711,2074
533903712,1067
533903713,1263
533903714,98
533903721,519
533903722,255
533903723,216
533903724,796
533903731,333
533903732,128
533903733,408
533903734,83
533903741,136
533903742,259
533903743,153
533903744,178
533903751,1717
533903752,1441
533903753,1057
533903754,763
533903762,2409
533903763,13
533903764,2282
533903771,3430
533903772,2713
533903773,6125
533903774,2945
533903781,1006
533903782,399
533903783,854
533903784,747
533903791,2050
533903792,1196
533903793,2286
533903794,1149
533903801,2170
533903802,532
533903803,2376
533903804,296
533903811,538
533903812,12
533903813,128
533903814,263
533903821,36
533903822,832
533903823,184
533903824,296
533903831,1636
533903832,858
533903833,804
533903834,480
533903841,486
533903842,270
533903843,216
533903844,452
533903851,1375
533903852,329
533903853,841
533903854,491
533903861,222
533903862,1358
533903863,342
533903864,1609
533903871,3316
533903872,2239
533903873,3132
533903874,827
533903881,657
533903882,1046
533903883,180
533903884,426
533903891,1517
533903892,1175
533903893,889
533903894,3008
533903901,1078
533903902,172
533903903,949
533903904,19
533903911,174
533903912,277
533903913,298
533903914,243
533903921,156
533903922,208
533903923,179
533903924,142
533903931,478
533903932,295
533903933,135
533903934,84
533903941,241
533903942,224
533903943,197
533903944,165
533903951,200
533903952,2016
533903953,1731
533903954,3064
533903961,1882
533903962,1838
533903963,1739
533903964,783
533903971,2741
533903972,1893
533903973,2701
533903974,2432
533903981,299
533903982,1517
533903983,1050
533903984,3177
533903991,1589
533903992,2738
533903993,2121
533903994,2790
533904001,1206
533904002,1469
533904003,2508
533904004,665
533904011,450
533904012,1856
533904013,820
533904014,1070
533904021,1204
533904023,2501
533904024,2088
533904031,655
533904032,689
533904033,2090
533904034,412
533904041,232
533904042,655
533904043,508
533904044,1016
533904051,401
533904053,1167
533904054,1
533904064,20
533904071,236
533904072,873
533904073,625
533904074,899
533904081,2446
533904082,4484
533904083,1806
533904084,2919
533904091,3407
533904092,2505
533904093,731
533904094,2486
533904101,2285
533904102,1707
533904103,2713
533904104,2054
533904111,2220
533904112,600
533904113,2965
533904114,1426
533904121,3348
533904122,4274
533904123,2339
533904124,2587
533904131,2268
533904132,968
533904133,3407
533904134,1590
533904141,1338
533904142,876
533904143,1008
533904144,297
533904151,103
533904153,265
533904154,607
533904161,448
533904162,102
533904163,2196
533904164,892
533904171,155
533904172,1809
533904173,84
533904174,730
533904181,3201
533904182,2849
533904183,1472
533904184,1767
533904191,3191
533904192,2879
533904193,2482
533904194,2426
533904201,2302
533904202,2286
533904203,1780
533904204,1198
533904211,2498
533904212,2005
533904213,1317
533904214,1351
533904221,941
533904222,1699
533904223,2479
533904224,3143
533904231,1583
533904232,2496
533904233,4529
533904234,1252
533904241,1088
533904242,1451
533904243,1187
533904244,2990
533904251,1202
533904252,2244
533904253,1883
533904254,2650
533904261,2024
533904262,954
533904263,2186
533904264,1240
533904271,500
533904273,257
533904281,27
533904282,1383
533904284,703
533904291,2662
533904292,1957
533904293,4179
533904294,2211
533904301,118
533904302,647
533904303,278
533904304,214
533904311,953
533904312,1211
533904313,378
533904314,597
533904321,2382
533904322,6182
533904323,382
533904324,2722
533904331,2573
533904332,1556
533904333,2286
533904334,3304
533904341,2395
533904342,1992
533904343,2611
533904344,2849
533904351,1920
533904352,1536
533904353,1721
533904354,2127
533904361,640
533904362,1442
533904363,141
533904364,205
533904373,1048
533904374,277
533904381,1398
533904382,1399
533904383,816
533904384,1288
533904391,1598
533904392,3002
533904393,2055
533904394,2393
533904401,1309
533904402,851
533904403,2654
533904404,912
533904411,807
533904412,230
533904413,528
533904414,407
533904421,582
533904422,2755
533904423,168
533904424,2773
533904431,1926
533904432,2097
533904433,1938
533904434,1863
533904441,3736
533904442,2312
533904443,2967
533904444,2041
533904451,2742
533904452,3129
533904453,3300
533904454,1979
533904461,2412
533904462,2920
533904463,2277
533904464,3650
533904471,1728
533904472,1814
533904473,2763
533904474,3413
533904481,373
533904482,1796
533904483,1240
533904484,1250
533904491,2497
533904492,3063
533904493,2981
533904494,3489
533904501,2310
533904502,1319
533904503,1938
533904504,2755
533904511,720
533904512,591
533904513,2152
533904514,517
533904521,1781
533904522,2727
533904523,2202
533904524,1763
533904531,2844
533904532,2464
533904533,2432
533904534,2624
533904541,1968
533904542,2119
533904543,939
533904544,685
533904551,1926
533904552,2802
533904553,841
533904554,3010
533904561,2231
533904562,3324
533904563,2572
533904564,2087
533904571,2964
533904572,2628
533904573,3274
533904574,3533
533904581,2658
533904582,2087
533904583,3155
533904584,3105
533904591,3059
533904592,3174
533904593,4381
533904594,3373
533904601,787
533904602,1148
533904603,1519
533904604,837
533904611,1643
533904612,2844
533904613,1360
533904614,3917
533904621,3053
533904622,2284
533904623,3405
533904624,1831
533904631,2997
533904632,1237
533904633,2576
533904634,168
533904641,178
533904642,249
533904643,1158
533904644,2240
533904651,1386
