KEY_CODE,population
533904991,2856
533904992,3671
533904993,2530
533904994,4076
533905001,4350
533905002,460
533905003,4641
533905004,1524
533905013,2
533905101,2304
533905102,2472
533905103,2976
533905104,988
533905111,1893
533905112,240
533905113,1267
533905114,10
533905121,72
533905123,21
533905201,3016
533905202,737
533905203,2734
533905204,1905
533905211,959
533905212,3
533905213,3008
533905214,7
533905301,3153
533905302,604
533905303,2662
533905304,3450
533905311,1717
533905312,14
533905313,4679
533905401,2560
533905402,2398
533905403,2799
533905404,2138
533905411,3626
533905413,3834
533905501,1477
533905502,1234
533905503,353
533905504,51
533905511,2079
533905811,71
533905901,259
533905903,1901
533905904,1922
533905913,32
533905924,210
533905933,907
533905934,7
533905941,14
533906072,104
533906081,686
533906082,855
533906083,476
533906084,743
533906091,768
533906092,1577
533906093,900
533906094,1871
533906181,48
533906182,282
533906191,389
533906192,109
533907001,1970
533907002,1424
533907003,1180
533907004,960
533907011,897
533907012,642
533907013,623
533907014,1447
533907021,1452
533907022,515
533907023,1466
533907024,893
533907031,890
533907032,458
533907041,11
533907043,113
533907044,356
533907052,391
533907053,443
533907054,225
533907061,1387
533907062,54
533907063,1050
533907064,8
533907083,36
533907084,39
533907092,84
533907094,161
533907101,54
533907111,518
533907112,1372
533907114,373
533907121,1021
533907122,1056
533907123,1117
533907124,1621
533907131,528
533907132,100
533907133,835
533907141,1076
533907142,1576
533907143,268
533907151,748
533907152,666
533907153,107
533907154,110
533907161,1250
533907162,71
533907163,314
533907173,152
533907181,60
533907182,159
533907183,95
533907184,149
533907192,50
533907193,456
533907212,32
533907221,344
533907222,204
533907224,259
533907231,17
533907232,89
533907233,96
533907234,178
533907241,47
533907243,35
533907244,1070
533907253,345
533907254,76
533907261,79
533907264,261
533907272,62
533907273,215
533907281,61
533907283,64
533907284,40
533907291,42
533907294,36
533907322,9
533907331,594
533907332,449
533907333,1094
533907334,634
533907341,255
533907342,1858
533907343,602
533907344,351
533907351,16
533907352,5
533907354,192
533907362,152
