139.827623 35.694536
139.668639 35.610649
139.663385 35.772992
139.648967 35.732998
139.792653 35.669887
139.724455 35.560731
139.608348 35.658784
139.876896 35.684758
139.698057 35.717644
139.705560 35.622192
139.854251 35.754854
139.668063 35.688536
139.791319 35.728925
139.744814 35.720801
139.675744 35.649542
optimized cost
186000.527826
2024-01-29 05:23:25
9回目，np.seedIndex=8
初期母点
139.668012 35.790574
139.637899 35.726204
139.625556 35.611860
139.792561 35.664783
139.735940 35.673746
139.657669 35.757630
139.626870 35.608546
139.605997 35.616692
139.722299 35.775516
139.713723 35.578433
139.677507 35.797901
139.618927 35.705042
139.713162 35.715211
139.701532 35.722825
139.749274 35.712430
139.870412 35.695384
139.883815 35.672167
139.658156 35.786511
139.773689 35.732235
139.707009 35.769519
139.640493 35.741074
139.629285 35.722545
139.810644 35.787500
局所最適点
139.683534 35.773917
139.659604 35.674923
139.694728 35.642278
139.791958 35.669040
139.731768 35.623728
139.653274 35.727036
139.692285 35.594696
139.649753 35.627881
139.792826 35.783223
139.722526 35.565391
139.738300 35.759031
139.610955 35.654873
139.735134 35.708316
139.686417 35.701060
139.786976 35.728251
139.881263 35.717763
139.869371 35.668507
139.639065 35.767690
139.826308 35.696078
139.704039 35.741323
139.615903 35.703659
139.589247 35.743739
139.846365 35.762813
optimized cost
181768.888637
2024-01-29 05:23:39
10回目，np.seedIndex=9
初期母点
139.738902 35.643328
139.641562 35.766640
139.601931 35.675696
139.766281 35.704163
139.612269 35.644755
139.811044 35.663005
139.671404 35.577737
139.751881 35.780957
139.777129 35.743552
139.715099 35.736524
139.630501 35.622795
139.802271 35.731427
139.726527 35.571928
139.680020 35.602473
139.684355 35.752378
139.659845 35.771600
139.713645 35.672928
139.607045 35.656181
139.779054 35.580308
139.773610 35.773826
139.625051 35.684942
139.749022 35.780232
139.726032 35.649534
局所最適点
139.736368 35.649385
139.645250 35.769192
139.590394 35.744090
139.805832 35.680681
139.610529 35.653471
139.864323 35.671905
139.689757 35.587832
139.791159 35.783663
139.791911 35.727378
139.733206 35.708363
139.656370 35.660157
139.878634 35.717375
139.722844 35.562122
139.648197 35.621693
139.692589 35.730215
139.692830 35.770663
139.677570 35.690685
139.614354 35.700688
139.727992 35.605753
139.845784 35.763261
139.647922 35.723932
139.736044 35.752443
139.694367 35.632996
optimized cost
183828.144705
2024-01-29 05:23:51
11回目，np.seedIndex=10
初期母点
139.771421 35.657222
139.773427 35.601525
139.843996 35.755897
139.796042 35.590057
139.756201 35.631943
139.674999 35.788204
139.858048 35.700798
139.714482 35.620905
139.802489 35.664208
139.805758 35.715462
139.639893 35.741959
139.894724 35.792347
139.783998 35.561065
139.709844 35.774549
139.694309 35.687246
139.730809 35.566249
139.775364 35.761017
139.646926 35.606075
139.723861 35.559231
139.748981 35.754496
139.797367 35.683371
139.770171 35.643544
139.780391 35.578229
局所最適点
139.793767 35.661672
139.648193 35.631497
139.845814 35.763076
139.733876 35.648921
139.669621 35.682500
139.651096 35.769144
139.869696 35.668632
139.611331 35.657926
139.794874 35.733656
139.747529 35.735685
139.590795 35.744247
139.881108 35.718125
139.722111 35.562420
139.707285 35.762932
139.675103 35.726469
139.727088 35.606409
139.790338 35.783781
139.624757 35.709397
139.688043 35.590226
139.720420 35.703508
139.789851 35.698299
139.830084 35.693068
139.691478 35.635490
optimized cost
180650.201398
2024-01-29 05:24:08
12回目，np.seedIndex=11
初期母点
139.735714 35.689943
139.877263 35.666413
139.752352 35.696846
139.655398 35.677977
139.788965 35.748244
139.628237 35.625850
139.627201 35.752411
139.894658 35.791189
139.796177 35.703891
139.758514 35.564888
139.657062 35.610486
139.609025 35.665984
139.732159 35.760607
139.755737 35.710073
139.749932 35.715612
139.737199 35.619541
139.899297 35.798923
139.852065 35.726952
139.694583 35.607416
139.686712 35.567556
139.829886 35.650100
139.887413 35.761827
139.600163 35.602429
局所最適点
139.718428 35.705838
139.867997 35.666539
139.791862 35.669291
139.670691 35.702031
139.783683 35.783626
139.620382 35.647370
139.639005 35.753188
139.826394 35.772143
139.794187 35.725340
139.718774 35.564465
139.671728 35.649168
139.588308 35.743223
139.679380 35.768575
139.754293 35.728898
139.718894 35.755465
139.728902 35.648253
139.866785 35.760984
139.848948 35.728357
139.723395 35.608295
139.678893 35.603704
139.827322 35.690495
139.889943 35.705108
139.617806 35.701193
optimized cost
183491.518275
2024-01-29 05:24:20
13回目，np.seedIndex=12
初期母点
139.742371 35.714368
139.799923 35.585650
139.603258 35.643689
139.682214 35.752587
139.807178 35.700364
139.767457 35.715330
139.643591 35.660014
139.648680 35.776493
139.617647 35.754705
139.622383 35.721736
139.701100 35.651154
139.618235 35.778758
139.752678 35.572744
139.896140 35.786678
139.633758 35.655802
139.640521 35.628135
139.786436 35.590881
139.651364 35.753924
139.720156 35.654710
139.778791 35.669192
139.715374 35.557624
139.817898 35.791865
139.892891 35.715899
局所最適点
139.731031 35.708677
139.868627 35.668129
139.608743 35.657552
139.729983 35.754327
139.825844 35.697342
139.784861 35.728846
139.676455 35.691500
139.685335 35.773305
139.588723 35.742710
139.626325 35.707985
139.691762 35.633114
139.639667 35.761135
139.689529 35.587655
139.846092 35.762864
139.654706 35.661158
139.645970 35.622704
139.727509 35.606211
139.682908 35.730333
139.732994 35.649457
139.792784 35.669504
139.722844 35.562222
139.791366 35.783089
139.881560 35.717037
optimized cost
180764.989031
2024-01-29 05:24:30
14回目，np.seedIndex=13
初期母点
139.677703 35.721314
139.805225 35.762334
139.655717 35.607640
139.644148 35.606291
139.759394 35.603477
139.688397 35.657895
139.851297 35.702101
139.604330 35.618959
139.644013 35.767821
139.842922 35.751512
139.847910 35.736188
139.884797 35.748443
139.677012 35.762485
139.746036 35.738751
139.769242 35.657394
139.709261 35.657456
139.694128 35.579340
139.845893 35.749565
139.895704 35.722731
139.766268 35.737103
139.640456 35.719205
139.733020 35.594158
139.660788 35.680673
局所最適点
139.690866 35.718437
139.771084 35.778252
139.683279 35.636387
139.635323 35.634958
139.725031 35.608499
139.669539 35.680940
139.867646 35.666420
139.609490 35.675259
139.656602 35.769466
139.808829 35.779324
139.826999 35.695049
139.871079 35.730071
139.711192 35.762014
139.739398 35.719158
139.792722 35.669511
139.730930 35.651071
139.686440 35.590858
139.847981 35.764351
139.893234 35.698337
139.789159 35.727473
139.592850 35.742331
139.722232 35.563000
139.640163 35.718927
optimized cost
182553.310996
2024-01-29 05:24:41
15回目，np.seedIndex=14
初期母点
139.632049 35.725646
139.795613 35.785088
139.681335 35.613944
139.820218 35.714613
139.690896 35.721058
139.719002 35.744379
139.635520 35.605817
139.678121 35.751070
139.789499 35.587426
139.765400 35.716000
139.649484 35.712925
139.636908 35.634267
139.624962 35.601105
139.893400 35.650919
139.897130 35.659662
139.782259 35.768149
139.776725 35.708432
139.654359 35.573668
139.862438 35.678445
139.658152 35.663150
139.665456 35.749560
139.750144 35.575607
139.757729 35.573246
局所最適点
139.591157 35.742696
139.845672 35.763198
139.729167 35.650036
139.789416 35.734582
139.695788 35.716396
139.730192 35.756800
139.675360 35.637054
139.688513 35.767128
139.793463 35.661430
139.741614 35.714807
139.648296 35.723650
139.612116 35.691434
139.623866 35.642637
139.869840 35.668932
139.880990 35.718652
139.790991 35.783817
139.794998 35.697229
139.685187 35.592466
139.831228 35.693618
139.669187 35.681954
139.643172 35.769009
139.724009 35.609021
139.721717 35.563245
optimized cost
180741.664365
2024-01-29 05:24:51
16回目，np.seedIndex=15
初期母点
139.863847 35.720338
139.857203 35.799954
139.671915 35.634519
139.678994 35.607152
139.857351 35.768633
139.877451 35.677842
139.669416 35.663884
139.725963 35.569740
139.769407 35.639991
139.770885 35.782554
139.793671 35.651275
139.859072 35.798793
139.747077 35.786256
139.651658 35.784516
139.807145 35.729771
139.685985 35.673746
139.740598 35.760121
139.766497 35.650365
139.750617 35.594803
139.670578 35.627808
139.732465 35.568550
139.872241 35.749038
139.742334 35.578850
局所最適点
139.828408 35.692966
139.841777 35.767772
139.670051 35.682405
139.646729 35.632341
139.794624 35.725924
139.867796 35.666233
139.629011 35.712507
139.688086 35.589441
139.733423 35.648997
139.789260 35.783403
139.792430 35.669762
139.869121 35.733490
139.653421 35.769598
139.591141 35.743846
139.751525 35.733998
139.679491 35.726269
139.710324 35.762161
139.722422 35.704225
139.690823 35.634735
139.610561 35.661249
139.722467 35.562378
139.891791 35.699553
139.727082 35.606439
optimized cost
180557.439666
2024-01-29 05:25:07
17回目，np.seedIndex=16
初期母点
139.708457 35.670120
139.725086 35.661690
139.722855 35.714426
139.677657 35.708749
139.603039 35.625511
139.700519 35.585488
139.836773 35.789051
139.676052 35.773385
139.842291 35.716855
139.608211 35.664197
139.788025 35.624056
139.667301 35.627448
139.677471 35.746956
139.704334 35.655781
139.792907 35.787096
139.687907 35.561002
139.892165 35.758143
139.837099 35.680843
139.670440 35.588627
139.691271 35.665221
139.619720 35.724821
139.852729 35.672883
139.875630 35.668770
局所最適点
139.720464 35.703571
139.733800 35.648937
139.748527 35.734518
139.675109 35.726501
139.611257 35.657962
139.727044 35.606416
139.841776 35.767771
139.651349 35.769204
139.793185 35.726046
139.624757 35.709397
139.792364 35.669677
139.648077 35.631515
139.707938 35.762614
139.691349 35.635317
139.789258 35.783271
139.722204 35.562383
139.869121 35.733490
139.828026 35.693441
139.688142 35.589948
139.669629 35.682491
139.590860 35.744266
139.867796 35.666233
139.891791 35.699553
optimized cost
180570.924929
2024-01-29 05:25:19
18回目，np.seedIndex=17
初期母点
139.756595 35.751673
139.829832 35.726055
139.798415 35.577541
139.608081 35.646043
139.750481 35.629359
139.853898 35.786298
139.720477 35.799612
139.618658 35.753152
139.811671 35.689723
139.761989 35.770614
139.791632 35.627300
139.624559 35.784944
139.742230 35.799082
139.642482 35.753051
139.844013 35.779994
139.605350 35.643048
139.615501 35.738009
139.706393 35.789876
139.712449 35.743594
139.767045 35.789348
139.758075 35.639927
139.680160 35.746617
139.657824 35.700974
局所最適点
139.793054 35.697122
139.869936 35.668943
139.715690 35.565340
139.676776 35.619857
139.722498 35.606648
139.880990 35.718652
139.723582 35.757845
139.590057 35.742237
139.831033 35.692662
139.796121 35.733460
139.793371 35.661414
139.639626 35.766792
139.754908 35.730634
139.643882 35.719947
139.845767 35.763175
139.625763 35.642054
139.610478 35.688255
139.682737 35.771150
139.724409 35.703833
139.790683 35.783793
139.728173 35.647661
139.687280 35.722168
139.670137 35.676191
optimized cost
181377.549345
2024-01-29 05:25:31
19回目，np.seedIndex=18
初期母点
139.654379 35.715358
139.700368 35.599485
139.746855 35.673509
139.743932 35.664583
139.679359 35.613450
139.802446 35.746794
139.859784 35.786007
139.670367 35.609349
139.820448 35.693886
139.660561 35.719401
139.861975 35.758947
139.664829 35.624737
139.601999 35.793920
139.666132 35.731776
139.761369 35.698366
139.758021 35.756382
139.779979 35.625797
139.634449 35.669351
139.805180 35.707778
139.648078 35.601709
139.805874 35.659247
139.722103 35.670085
139.630367 35.726150
局所最適点
139.635158 35.713699
139.722451 35.562271
139.731257 35.708611
139.733046 35.649251
139.692622 35.631088
139.791366 35.783089
139.846092 35.762864
139.688202 35.588532
139.868627 35.668129
139.685445 35.728869
139.881560 35.717037
139.657431 35.656247
139.641108 35.764745
139.686335 35.772184
139.784927 35.728790
139.730490 35.754341
139.727923 35.605643
139.608698 35.668450
139.825844 35.697342
139.637020 35.625465
139.792784 35.669504
139.676579 35.689071
139.589915 35.740813
optimized cost
180919.803052
2024-01-29 05:25:41
20回目，np.seedIndex=19
初期母点
139.803138 35.746228
139.756140 35.677873
139.718060 35.799204
139.686809 35.587065
139.678324 35.615109
139.698210 35.616978
139.632293 35.631375
139.693320 35.692310
139.660766 35.685611
139.716569 35.733368
139.840918 35.653609
139.629808 35.731999
139.797487 35.624763
139.874468 35.758452
139.837589 35.788479
139.669852 35.686313
139.819413 35.750369
139.717084 35.584636
139.787895 35.576160
139.736350 35.669939
139.635940 35.670048
139.750020 35.642268
139.868882 35.766518
局所最適点
139.753335 35.733061
